BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
0B / 0B,0.00%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:29.558878
0B / 0B,0.00%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:29.558908
0B / 0B,0.00%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:30.058811
0B / 0B,0.00%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:30.058844
0B / 0B,4.44%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:30.558241
0B / 0B,4.44%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:30.558260
0B / 0B,4.44%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:31.058654
0B / 0B,4.44%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:31.058672
0B / 0B,3.78%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:31.558244
0B / 0B,3.78%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:31.558264
0B / 0B,3.78%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:32.058572
0B / 0B,3.78%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:32.058596
0B / 0B,3.47%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:32.558539
0B / 0B,3.47%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:32.558558
0B / 0B,3.47%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:33.058250
0B / 0B,3.47%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:33.058267
0B / 0B,6.05%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:33.558714
0B / 0B,6.05%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:33.558731
0B / 0B,6.05%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:34.058143
0B / 0B,6.05%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:34.058159
0B / 0B,4.09%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:34.558209
0B / 0B,4.09%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:34.558227
0B / 0B,4.09%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:35.058655
0B / 0B,4.09%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:35.058678
0B / 0B,3.25%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:35.558189
0B / 0B,3.25%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:35.558207
0B / 0B,3.25%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:36.058728
0B / 0B,3.25%,5d99601502b4,5d99601502b4,2.85%,449.5MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-15T11:16:36.058745
