BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
0B / 0B,0.00%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:56.885581
0B / 0B,0.00%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:56.885620
0B / 0B,0.00%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:57.384961
0B / 0B,0.00%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:57.384978
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:57.884805
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:57.884825
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:58.384757
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:58.384776
0B / 0B,0.03%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:58.885600
0B / 0B,0.03%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:58.885619
0B / 0B,0.03%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:59.385078
0B / 0B,0.03%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:59.385097
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:59.885596
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:18:59.885627
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:00.385704
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:00.385726
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:00.885496
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:00.885517
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:01.385228
0B / 0B,0.02%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:01.385248
0B / 0B,0.04%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:01.885697
0B / 0B,0.04%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:01.885729
0B / 0B,0.04%,c5a6d893996c,c5a6d893996c,0.44%,68.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,20,2025-08-14T17:19:02.385401
