BlockIO,CPUPerc,Container,ID,MemPerc,MemUsage,Name,NetIO,PIDs,timestamp
15.7MB / 81.9kB,0.00%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:16:59.268909
15.7MB / 81.9kB,0.00%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:16:59.268942
15.7MB / 81.9kB,0.00%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:16:59.769191
15.7MB / 81.9kB,0.00%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.7MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:16:59.769213
15.7MB / 81.9kB,27.01%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:00.268493
15.7MB / 81.9kB,27.01%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:00.268512
15.7MB / 81.9kB,27.01%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:00.769249
15.7MB / 81.9kB,27.01%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:00.769267
15.7MB / 81.9kB,19.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:01.268633
15.7MB / 81.9kB,19.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:01.268657
15.7MB / 81.9kB,19.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:01.769394
15.7MB / 81.9kB,19.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:01.769417
15.7MB / 81.9kB,18.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:02.268520
15.7MB / 81.9kB,18.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:02.268540
15.7MB / 81.9kB,18.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:02.768688
15.7MB / 81.9kB,18.87%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:02.768714
15.7MB / 81.9kB,22.23%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:03.268553
15.7MB / 81.9kB,22.23%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:03.268572
15.7MB / 81.9kB,22.23%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:03.769206
15.7MB / 81.9kB,22.23%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:03.769227
15.7MB / 81.9kB,20.13%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:04.268725
15.7MB / 81.9kB,20.13%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:04.268755
15.7MB / 81.9kB,20.13%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:04.768352
15.7MB / 81.9kB,20.13%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:04.768379
15.7MB / 81.9kB,26.39%,18e7ac95a5dd,18e7ac95a5dd,2.85%,449.4MiB / 15.41GiB,rover-ros-gateway,0B / 0B,164,2025-08-14T17:17:05.268931
